Data for Supplementary Figure S2
Drug	Migration
Cytoskeletal	 0.357389387
Cytoskeletal	 1.665620437
Cytoskeletal	 0.164875221
Cytoskeletal	 2.728722020
Cytoskeletal	-1.091122530
Cytoskeletal	-0.157540075
Cytoskeletal	 0.730543848
Cytoskeletal	 1.403054169
Cytoskeletal	-0.988122217
Cytoskeletal	-1.528753843
Cytoskeletal	 0.845429299
Cytoskeletal	 0.530657527
Cytoskeletal	 1.003894600
Cytoskeletal	 0.440987120
Cytoskeletal	-0.140456608
Cytoskeletal	 1.442475398
Cytoskeletal	-0.664607525
Cytoskeletal	 1.209854257
Cytoskeletal	-0.964909377
Cytoskeletal	-0.388418919
Cytoskeletal	-0.669077279
Cytoskeletal	-0.743177957
Cytoskeletal	 0.804866496
Cytoskeletal	-0.642157573
Cytoskeletal	 0.263683835
Cytoskeletal	 1.252986561
Cytoskeletal	 0.196815490
Cytoskeletal	-0.759129280
Cytoskeletal	-0.120981896
Cytoskeletal	 0.133147806
Cytoskeletal	 0.419823030
Cytoskeletal	-0.972589368
Cytoskeletal	 1.560175274
Cytoskeletal	 0.169772189
Cytoskeletal	 1.013881078
Cytoskeletal	-0.091852432
Cytoskeletal	 1.459583805
Cytoskeletal	-0.963208433
Cytoskeletal	-0.238797756
Cytoskeletal	-0.406689928
Cytoskeletal	-0.116120588
Cytoskeletal	 0.527755772
Cytoskeletal	-0.062799893
Cytoskeletal	 0.566949564
Cytoskeletal	 0.919961263
Cytoskeletal	-0.053128552
Cytoskeletal	 0.759129280
Cytoskeletal	-0.755495166
Cytoskeletal	-0.624498500
Cytoskeletal	 0.949715856
Cytoskeletal	-1.131146007
Cytoskeletal	 1.197201080
Cytoskeletal	 1.163539645
Cytoskeletal	-0.636248555
Cytoskeletal	 1.988886940
Cytoskeletal	 0.028969736
Cytoskeletal	 1.568479605
Cytoskeletal	-0.677630803
Cytoskeletal	 0.636248555
Cytoskeletal	 0.949715856
Cytoskeletal	 0.652558614
Cytoskeletal	-0.166104616
Cytoskeletal	-1.301678532
Cytoskeletal	-0.182264917
Cytoskeletal	-0.696387620
Cytoskeletal	-0.398843394
Cytoskeletal	 0.091856703
Cytoskeletal	 1.274258731
Cytoskeletal	-0.864594465
Cytoskeletal	-0.353537721
Cytoskeletal	 1.282765917
Cytoskeletal	-1.088952623
Cytoskeletal	-1.140272328
Cytoskeletal	 0.368395594
Cytoskeletal	-1.390381847
Cytoskeletal	 0.271227284
Cytoskeletal	 0.621571026
Cytoskeletal	-0.211575416
Cytoskeletal	-0.191849099
Cytoskeletal	-0.438331090
Cytoskeletal	 0.876786251
Cytoskeletal	-0.009655391
Cytoskeletal	 1.144876794
Cytoskeletal	 0.621571026
Cytoskeletal	-0.157551710
Cytoskeletal	-0.296305595
Cytoskeletal	 1.122190256
Cytoskeletal	 0.206619298
Cytoskeletal	 0.932892641
Cytoskeletal	 0.869740863
Cytoskeletal	 0.690263975
Cytoskeletal	 1.099863718
Cytoskeletal	 0.088231581
Cytoskeletal	 0.352251529
Cytoskeletal	 2.173116675
Cytoskeletal	 1.568273422
Cytoskeletal	 0.118559559
Cytoskeletal	-0.303876944
Cytoskeletal	 0.331007658
Cytoskeletal	-0.620111238
Cytoskeletal	 0.835160336
Cytoskeletal	 0.909009180
Cytoskeletal	-0.604130845
Cytoskeletal	 0.091852432
Cytoskeletal	 2.114650420
Cytoskeletal	 0.716471883
Cytoskeletal	-0.267449854
Cytoskeletal	 0.976450725
Cytoskeletal	-1.111367694
Cytoskeletal	 0.211568403
Cytoskeletal	 0.887427778
Cytoskeletal	 1.318606228
Cytoskeletal	-0.572618272
Cytoskeletal	-0.592604571
Cytoskeletal	 1.181182141
Cytoskeletal	 0.450355655
Cytoskeletal	 0.201691099
Cytoskeletal	-0.301351267
Cytoskeletal	-1.359631142
Cytoskeletal	 0.828362517
Cytoskeletal	 1.290595301
Cytoskeletal	-0.612827882
Cytoskeletal	-0.336892393
Cytoskeletal	-0.278703465
Cytoskeletal	 0.248722833
Cytoskeletal	 0.632026587
Cytoskeletal	-0.140456608
Cytoskeletal	 0.324153061
Cytoskeletal	 0.041046181
Cytoskeletal	 0.167322202
Cytoskeletal	 0.232581319
Cytoskeletal	-0.625966230
Cytoskeletal	-0.201691099
Cytoskeletal	 0.794924306
Cytoskeletal	 0.409310931
Cytoskeletal	 1.423983885
Cytoskeletal	-1.988886940
Cytoskeletal	-0.955879254
Cytoskeletal	 0.610231409
Cytoskeletal	-0.642157573
Cytoskeletal	-1.197201080
Cytoskeletal	 0.618651451
Cytoskeletal	 0.246234768
Cytoskeletal	 0.359961813
Cytoskeletal	 2.173787803
Cytoskeletal	-0.714916059
Cytoskeletal	-0.505718032
Cytoskeletal	 0.283723698
Cytoskeletal	-1.266326652
Cytoskeletal	-0.348404454
Cytoskeletal	-1.290595301
Cytoskeletal	 0.740005720
Cytoskeletal	-0.687528038
Cytoskeletal	 0.012069343
Cytoskeletal	-0.174669157
Cytoskeletal	-0.945951262
Cytoskeletal	 0.067637687
Cytoskeletal	 1.797968901
Cytoskeletal	 0.263978152
Cytoskeletal	-0.060381547
Cytoskeletal	-0.276217425
Cytoskeletal	 1.040319202
Cytoskeletal	-0.406689928
Cytoskeletal	-0.130713121
Cytoskeletal	 1.255825960
Cytoskeletal	-0.434627998
Cytoskeletal	 0.401456183
Cytoskeletal	-0.705621880
Cytoskeletal	 1.560976531
Cytoskeletal	-0.281255663
Cytoskeletal	 1.926693132
Cytoskeletal	 1.080332940
Cytoskeletal	-1.040879809
Cytoskeletal	 1.528753843
Cytoskeletal	 0.530528187
Cytoskeletal	-1.674536046
Cytoskeletal	 0.547267785
Cytoskeletal	 1.341775139
Cytoskeletal	 1.263551933
Cytoskeletal	-0.494790280
Cytoskeletal	-1.881302180
Cytoskeletal	-0.938461582
Cytoskeletal	 0.901912673
Cytoskeletal	 0.953493815
Cytoskeletal	 0.347122854
Cytoskeletal	-0.036214990
Cytoskeletal	 0.334495353
Cytoskeletal	 1.456121412
Cytoskeletal	-0.781793448
Cytoskeletal	-0.752728336
Cytoskeletal	 0.204154585
Cytoskeletal	-1.186018798
Cytoskeletal	 1.019918026
Cytoskeletal	 0.486632730
Cytoskeletal	 0.216490735
Cytoskeletal	 0.672044332
Cytoskeletal	-1.032107726
Cytoskeletal	 1.020049711
Cytoskeletal	 0.015697478
Cytoskeletal	 0.206619298
Cytoskeletal	-0.422464009
Cytoskeletal	-1.219572970
Cytoskeletal	 0.516705866
Cytoskeletal	-0.256199394
Cytoskeletal	-0.536085171
Cytoskeletal	 0.342043044
Cytoskeletal	-0.031384635
Cytoskeletal	 1.036204823
Cytoskeletal	 0.953493815
Cytoskeletal	-0.150213306
Cytoskeletal	-2.394241143
Cytoskeletal	 1.023964534
Cytoskeletal	-0.492067502
Cytoskeletal	 0.077318091
Cytoskeletal	 0.708713205
Cytoskeletal	 0.084583051
Cytoskeletal	-0.164875221
Cytoskeletal	 0.681126189
Cytoskeletal	 0.120981896
Cytoskeletal	 0.026555004
Cytoskeletal	-0.254959302
Cytoskeletal	 1.131134445
Cytoskeletal	-0.425096271
Cytoskeletal	 0.349686054
Cytoskeletal	-0.060381547
Cytoskeletal	 0.157540540
Cytoskeletal	 0.687211743
Cytoskeletal	 0.514022440
Cytoskeletal	 0.313999037
Cytoskeletal	 0.041046181
Cytoskeletal	 0.306594640
Cytoskeletal	-0.934736209
Cytoskeletal	 0.909015115
Cytoskeletal	 0.003620789
Cytoskeletal	 0.649592971
Cytoskeletal	 0.283723698
Cytoskeletal	-0.889218046
Cytoskeletal	-0.123413604
Cytoskeletal	 1.285112040
Cytoskeletal	-1.003965197
Cytoskeletal	-0.814879154
Cytoskeletal	-1.449265029
Cytoskeletal	-0.339446698
Cytoskeletal	-0.942199885
Cytoskeletal	-1.180235342
Cytoskeletal	-1.477107906
Cytoskeletal	 0.953493815
Cytoskeletal	-0.561298825
Cytoskeletal	-0.735376121
Cytoskeletal	 1.170802988
Cytoskeletal	 0.133304252
Cytoskeletal	-1.242557790
Cytoskeletal	 0.316535509
Cytoskeletal	 0.406724448
Cytoskeletal	 0.572627404
Cytoskeletal	 0.898163927
Cytoskeletal	-0.216490735
Cytoskeletal	-0.231337438
Cytoskeletal	 0.736844515
Cytoskeletal	 1.019918026
Cytoskeletal	-0.607024805
Cytoskeletal	 0.552909686
Cytoskeletal	-0.296305595
Cytoskeletal	-0.848871930
Cytoskeletal	 1.435750930
Cytoskeletal	 1.646215813
Cytoskeletal	 1.165457252
Cytoskeletal	 0.752724535
Cytoskeletal	-1.560625619
Cytoskeletal	 0.354819300
Cytoskeletal	-1.637059837
Cytoskeletal	 0.972589368
Cytoskeletal	 0.194307839
Cytoskeletal	-1.091132744
Cytoskeletal	 1.085948240
Cytoskeletal	 0.502980538
Cytoskeletal	-1.095482772
Cytoskeletal	 1.131146007
Cytoskeletal	-0.669029229
Cytoskeletal	-0.415248370
Cytoskeletal	-0.054385337
Cytoskeletal	 1.168268433
Cytoskeletal	 0.062799893
Cytoskeletal	-0.261186366
Cytoskeletal	 1.867575674
Cytoskeletal	 0.113690959
Cytoskeletal	-0.050711519
Cytoskeletal	-0.155096908
Cytoskeletal	 0.310743870
Cytoskeletal	-0.505718032
Cytoskeletal	 0.883864083
Cytoskeletal	-0.295047433
Cytoskeletal	 0.002413813
Cytoskeletal	 0.352251529
Cytoskeletal	 0.999928432
Cytoskeletal	 0.859260114
Cytoskeletal	 1.628037666
Cytoskeletal	 0.880317001
Cytoskeletal	-0.435775119
Cytoskeletal	-0.919967390
Cytoskeletal	-0.434210547
Cytoskeletal	 1.456121412
Cytoskeletal	 0.912647838
Cytoskeletal	-0.090640611
Cytoskeletal	 0.385824510
Cytoskeletal	 2.225956251
Cytoskeletal	 0.388424118
Cytoskeletal	 1.815886267
Cytoskeletal	 0.483920678
Cytoskeletal	-0.150235004
Cytoskeletal	 0.912647838
Cytoskeletal	 1.335916248
Cytoskeletal	 1.757362238
Cytoskeletal	 0.419859050
Cytoskeletal	 0.611375843
Cytoskeletal	 0.555665763
Cytoskeletal	 0.497516692
Cytoskeletal	-1.709373086
Cytoskeletal	-1.247755392
Cytoskeletal	 0.316534501
Cytoskeletal	-0.704079546
Cytoskeletal	-0.711811245
Cytoskeletal	 0.560084616
Cytoskeletal	 0.135615517
Cytoskeletal	 1.137981993
Cytoskeletal	 0.685726556
Cytoskeletal	-1.506132219
Cytoskeletal	 0.375446651
Cytoskeletal	 0.082161879
Cytoskeletal	-0.631831858
Cytoskeletal	-1.052777298
Cytoskeletal	 1.134955267
Cytoskeletal	 1.449265029
Cytoskeletal	 0.179572290
Cytoskeletal	-0.113690959
